"UID"	"Sem"	"Class"	"Core"	"Section"	"Description"	"Transfer"	"Spec_Att"	"Credits"	"Grade"	"Current"
"a686b465x493"	1401				"-- (Last active semester) --"			0		
"a610b389x417"	1401				"-- (Last active semester) --"			0		
"a711b490x518"	1401				"-- (Last active semester) --"			0		
"a949b728x756"	1401				"-- (Last active semester) --"			0		
"a733b512x540"	1401				"-- (Last active semester) --"			0		
"a839b618x646"	1401				"-- (Last active semester) --"			0		
"a1075b854x882"	1401				"-- (Last active semester) --"			0		
"a1063b842x870"	1401				"-- (Last active semester) --"			0		
"a929b708x736"	1401				"-- (Last active semester) --"			0		
"a730b509x537"	1401				"-- (Last active semester) --"			0		
"a967b746x774"	1401				"-- (Last active semester) --"			0		
"a1100b879x907"	1401				"-- (Last active semester) --"			0		
"a808b587x615"	1401				"-- (Last active semester) --"			0		
"a854b633x661"	1401				"-- (Last active semester) --"			0		
"a709b488x516"	1401				"-- (Last active semester) --"			0		
"a670b449x477"	1401				"-- (Last active semester) --"			0		
"a1079b858x886"	1401				"-- (Last active semester) --"			0		
"a847b626x654"	1401				"-- (Last active semester) --"			0		
"a758b537x565"	1401				"-- (Last active semester) --"			0		
"a878b657x685"	1401				"-- (Last active semester) --"			0		
"a976b755x783"	1401				"-- (Last active semester) --"			0		
"a862b641x669"	1401				"-- (Last active semester) --"			0		
"a629b408x436"	1401				"-- (Last active semester) --"			0		
"a892b671x699"	1401				"-- (Last active semester) --"			0		
"a668b447x475"	1401				"-- (Last active semester) --"			0		
"a602b381x409"	1401				"-- (Last active semester) --"			0		
"a856b635x663"	1401				"-- (Last active semester) --"			0		
"a692b471x499"	1401				"-- (Last active semester) --"			0		
"a626b405x433"	1401				"-- (Last active semester) --"			0		
"a1061b840x868"	1401				"-- (Last active semester) --"			0		
"a830b609x637"	1401				"-- (Last active semester) --"			0		
"a776b555x583"	1401				"-- (Last active semester) --"			0		
"a832b611x639"	1401				"-- (Last active semester) --"			0		
"a835b614x642"	1401				"-- (Last active semester) --"			0		
"a845b624x652"	1401				"-- (Last active semester) --"			0		
"a760b539x567"	1401				"-- (Last active semester) --"			0		
"a910b689x717"	1401				"-- (Last active semester) --"			0		
"a691b470x498"	1401				"-- (Last active semester) --"			0		
"a707b486x514"	1401				"-- (Last active semester) --"			0		
"a1048b827x855"	1401				"-- (Last active semester) --"			0		
"a1081b860x888"	1401				"-- (Last active semester) --"			0		
"a1007b786x814"	1401				"-- (Last active semester) --"			0		
"a1003b782x810"	1401				"-- (Last active semester) --"			0		
"a759b538x566"	1401				"-- (Last active semester) --"			0		
"a667b446x474"	1401				"-- (Last active semester) --"			0		
"a740b519x547"	1401				"-- (Last active semester) --"			0		
"a1090b869x897"	1401				"-- (Last active semester) --"			0		
"a838b617x645"	1401				"-- (Last active semester) --"			0		
"a1049b828x856"	1401				"-- (Last active semester) --"			0		
"a880b659x687"	1401				"-- (Last active semester) --"			0		
"a713b492x520"	1401				"-- (Last active semester) --"			0		
"a823b602x630"	1401				"-- (Last active semester) --"			0		
"a769b548x576"	1401				"-- (Last active semester) --"			0		
"a1036b815x843"	1401				"-- (Last active semester) --"			0		
"a968b747x775"	1401				"-- (Last active semester) --"			0		
"a1097b876x904"	1401				"-- (Last active semester) --"			0		
"a675b454x482"	1401				"-- (Last active semester) --"			0		
"a772b551x579"	1401				"-- (Last active semester) --"			0		
"a722b501x529"	1401				"-- (Last active semester) --"			0		
"a959b738x766"	1401				"-- (Last active semester) --"			0		
"a1028b807x835"	1401				"-- (Last active semester) --"			0		
"a975b754x782"	1401				"-- (Last active semester) --"			0		
"a923b702x730"	1401				"-- (Last active semester) --"			0		
"a977b756x784"	1401				"-- (Last active semester) --"			0		
"a694b473x501"	1401				"-- (Last active semester) --"			0		
"a787b566x594"	1401				"-- (Last active semester) --"			0		
"a638b417x445"	1401				"-- (Last active semester) --"			0		
"a843b622x650"	1401				"-- (Last active semester) --"			0		
"a646b425x453"	1401				"-- (Last active semester) --"			0		
"a850b629x657"	1401				"-- (Last active semester) --"			0		
"a616b395x423"	1401				"-- (Last active semester) --"			0		
"a785b564x592"	1401				"-- (Last active semester) --"			0		
"a1037b816x844"	1401				"-- (Last active semester) --"			0		
"a620b399x427"	1401				"-- (Last active semester) --"			0		
"a718b497x525"	1401				"-- (Last active semester) --"			0		
"a622b401x429"	1401				"-- (Last active semester) --"			0		
"a1052b831x859"	1401				"-- (Last active semester) --"			0		
"a932b711x739"	1401				"-- (Last active semester) --"			0		
"a623b402x430"	1401				"-- (Last active semester) --"			0		
"a1085b864x892"	1401				"-- (Last active semester) --"			0		
"a643b422x450"	1401				"-- (Last active semester) --"			0		
"a794b573x601"	1401				"-- (Last active semester) --"			0		
"a736b515x543"	1401				"-- (Last active semester) --"			0		
"a988b767x795"	1401				"-- (Last active semester) --"			0		
"a824b603x631"	1401				"-- (Last active semester) --"			0		
"a683b462x490"	1401				"-- (Last active semester) --"			0		
"a1009b788x816"	1401				"-- (Last active semester) --"			0		
"a1015b794x822"	1401				"-- (Last active semester) --"			0		
"a679b458x486"	1401				"-- (Last active semester) --"			0		
"a889b668x696"	1401				"-- (Last active semester) --"			0		
"a1096b875x903"	1401				"-- (Last active semester) --"			0		
"a1033b812x840"	1401				"-- (Last active semester) --"			0		
"a817b596x624"	1401				"-- (Last active semester) --"			0		
"a716b495x523"	1401				"-- (Last active semester) --"			0		
"a874b653x681"	1401				"-- (Last active semester) --"			0		
"a1045b824x852"	1401				"-- (Last active semester) --"			0		
"a841b620x648"	1401				"-- (Last active semester) --"			0		
"a661b440x468"	1401				"-- (Last active semester) --"			0		
"a662b441x469"	1401				"-- (Last active semester) --"			0		
"a992b771x799"	1401				"-- (Last active semester) --"			0		
"a951b730x758"	1401				"-- (Last active semester) --"			0		
"a965b744x772"	1401				"-- (Last active semester) --"			0		
"a664b443x471"	1401				"-- (Last active semester) --"			0		
"a829b608x636"	1401				"-- (Last active semester) --"			0		
"a1054b833x861"	1401				"-- (Last active semester) --"			0		
"a1060b839x867"	1401				"-- (Last active semester) --"			0		
"a739b518x546"	1401				"-- (Last active semester) --"			0		
"a1039b818x846"	1401				"-- (Last active semester) --"			0		
"a941b720x748"	1401				"-- (Last active semester) --"			0		
"a665b444x472"	1401				"-- (Last active semester) --"			0		
"a842b621x649"	1401				"-- (Last active semester) --"			0		
"a971b750x778"	1401				"-- (Last active semester) --"			0		
"a995b774x802"	1401				"-- (Last active semester) --"			0		
"a782b561x589"	1401				"-- (Last active semester) --"			0		
"a1031b810x838"	1401				"-- (Last active semester) --"			0		
"a604b383x411"	1401				"-- (Last active semester) --"			0		
"a952b731x759"	1401				"-- (Last active semester) --"			0		
"a1012b791x819"	1401				"-- (Last active semester) --"			0		
"a687b466x494"	1401				"-- (Last active semester) --"			0		
"a682b461x489"	1401				"-- (Last active semester) --"			0		
"a788b567x595"	1401				"-- (Last active semester) --"			0		
"a710b489x517"	1401				"-- (Last active semester) --"			0		
"a818b597x625"	1401				"-- (Last active semester) --"			0		
"a821b600x628"	1401				"-- (Last active semester) --"			0		
"a898b677x705"	1401				"-- (Last active semester) --"			0		
"a940b719x747"	1401				"-- (Last active semester) --"			0		
"a724b503x531"	1401				"-- (Last active semester) --"			0		
"a1006b785x813"	1401				"-- (Last active semester) --"			0		
"a844b623x651"	1401				"-- (Last active semester) --"			0		
"a893b672x700"	1401				"-- (Last active semester) --"			0		
"a656b435x463"	1401				"-- (Last active semester) --"			0		
"a781b560x588"	1401				"-- (Last active semester) --"			0		
"a674b453x481"	1401				"-- (Last active semester) --"			0		
"a605b384x412"	1401				"-- (Last active semester) --"			0		
"a917b696x724"	1401				"-- (Last active semester) --"			0		
"a848b627x655"	1401				"-- (Last active semester) --"			0		
"a1067b846x874"	1401				"-- (Last active semester) --"			0		
"a985b764x792"	1401				"-- (Last active semester) --"			0		
"a904b683x711"	1401				"-- (Last active semester) --"			0		
"a1016b795x823"	1401				"-- (Last active semester) --"			0		
"a1059b838x866"	1401				"-- (Last active semester) --"			0		
"a771b550x578"	1401				"-- (Last active semester) --"			0		
"a1030b809x837"	1401				"-- (Last active semester) --"			0		
"a812b591x619"	1401				"-- (Last active semester) --"			0		
"a964b743x771"	1401				"-- (Last active semester) --"			0		
"a796b575x603"	1401				"-- (Last active semester) --"			0		
"a1013b792x820"	1401				"-- (Last active semester) --"			0		
"a905b684x712"	1401				"-- (Last active semester) --"			0		
"a699b478x506"	1401				"-- (Last active semester) --"			0		
"a748b527x555"	1401				"-- (Last active semester) --"			0		
"a725b504x532"	1401				"-- (Last active semester) --"			0		
"a805b584x612"	1401				"-- (Last active semester) --"			0		
"a784b563x591"	1401				"-- (Last active semester) --"			0		
"a743b522x550"	1401				"-- (Last active semester) --"			0		
"a766b545x573"	1401				"-- (Last active semester) --"			0		
"a994b773x801"	1401				"-- (Last active semester) --"			0		
"a884b663x691"	1401				"-- (Last active semester) --"			0		
"a745b524x552"	1401				"-- (Last active semester) --"			0		
"a915b694x722"	1401				"-- (Last active semester) --"			0		
"a790b569x597"	1401				"-- (Last active semester) --"			0		
"a658b437x465"	1401				"-- (Last active semester) --"			0		
"a937b716x744"	1401				"-- (Last active semester) --"			0		
"a1093b872x900"	1401				"-- (Last active semester) --"			0		
"a881b660x688"	1401				"-- (Last active semester) --"			0		
"a673b452x480"	1401				"-- (Last active semester) --"			0		
"a742b521x549"	1401				"-- (Last active semester) --"			0		
"a800b579x607"	1401				"-- (Last active semester) --"			0		
"a757b536x564"	1401				"-- (Last active semester) --"			0		
"a913b692x720"	1401				"-- (Last active semester) --"			0		
"a712b491x519"	1401				"-- (Last active semester) --"			0		
"a943b722x750"	1401				"-- (Last active semester) --"			0		
"a773b552x580"	1401				"-- (Last active semester) --"			0		
"a868b647x675"	1401				"-- (Last active semester) --"			0		
"a617b396x424"	1401				"-- (Last active semester) --"			0		
"a637b416x444"	1401				"-- (Last active semester) --"			0		
"a601b380x408"	1401				"-- (Last active semester) --"			0		
"a944b723x751"	1401				"-- (Last active semester) --"			0		
"a1011b790x818"	1401				"-- (Last active semester) --"			0		
"a979b758x786"	1401				"-- (Last active semester) --"			0		
"a928b707x735"	1401				"-- (Last active semester) --"			0		
"a701b480x508"	1401				"-- (Last active semester) --"			0		
"a1076b855x883"	1401				"-- (Last active semester) --"			0		
"a608b387x415"	1401				"-- (Last active semester) --"			0		
"a723b502x530"	1401				"-- (Last active semester) --"			0		
"a1078b857x885"	1401				"-- (Last active semester) --"			0		
"a875b654x682"	1401				"-- (Last active semester) --"			0		
"a1043b822x850"	1401				"-- (Last active semester) --"			0		
"a961b740x768"	1401				"-- (Last active semester) --"			0		
"a749b528x556"	1401				"-- (Last active semester) --"			0		
"a811b590x618"	1401				"-- (Last active semester) --"			0		
"a1073b852x880"	1401				"-- (Last active semester) --"			0		
"a649b428x456"	1401				"-- (Last active semester) --"			0		
"a1040b819x847"	1401				"-- (Last active semester) --"			0		
"a920b699x727"	1401				"-- (Last active semester) --"			0		
"a695b474x502"	1401				"-- (Last active semester) --"			0		
"a860b639x667"	1401				"-- (Last active semester) --"			0		
"a1084b863x891"	1401				"-- (Last active semester) --"			0		
"a680b459x487"	1401				"-- (Last active semester) --"			0		
"a1064b843x871"	1401				"-- (Last active semester) --"			0		
"a859b638x666"	1401				"-- (Last active semester) --"			0		
"a632b411x439"	1401				"-- (Last active semester) --"			0		
"a814b593x621"	1401				"-- (Last active semester) --"			0		
"a721b500x528"	1401				"-- (Last active semester) --"			0		
"a689b468x496"	1401				"-- (Last active semester) --"			0		
"a746b525x553"	1401				"-- (Last active semester) --"			0		
"a734b513x541"	1401				"-- (Last active semester) --"			0		
"a767b546x574"	1401				"-- (Last active semester) --"			0		
"a644b423x451"	1401				"-- (Last active semester) --"			0		
"a857b636x664"	1401				"-- (Last active semester) --"			0		
"a934b713x741"	1401				"-- (Last active semester) --"			0		
"a931b710x738"	1401				"-- (Last active semester) --"			0		
"a647b426x454"	1401				"-- (Last active semester) --"			0		
"a987b766x794"	1401				"-- (Last active semester) --"			0		
"a922b701x729"	1401				"-- (Last active semester) --"			0		
"a908b687x715"	1401				"-- (Last active semester) --"			0		
"a1069b848x876"	1401				"-- (Last active semester) --"			0		
"a628b407x435"	1401				"-- (Last active semester) --"			0		
"a1088b867x895"	1401				"-- (Last active semester) --"			0		
"a703b482x510"	1401				"-- (Last active semester) --"			0		
"a916b695x723"	1401				"-- (Last active semester) --"			0		
"a1095b874x902"	1401				"-- (Last active semester) --"			0		
"a982b761x789"	1401				"-- (Last active semester) --"			0		
"a755b534x562"	1401				"-- (Last active semester) --"			0		
"a1051b830x858"	1401				"-- (Last active semester) --"			0		
"a867b646x674"	1401				"-- (Last active semester) --"			0		
"a619b398x426"	1401				"-- (Last active semester) --"			0		
"a631b410x438"	1401				"-- (Last active semester) --"			0		
"a955b734x762"	1401				"-- (Last active semester) --"			0		
"a919b698x726"	1401				"-- (Last active semester) --"			0		
"a747b526x554"	1401				"-- (Last active semester) --"			0		
"a793b572x600"	1401				"-- (Last active semester) --"			0		
"a1071b850x878"	1401				"-- (Last active semester) --"			0		
"a1087b866x894"	1401				"-- (Last active semester) --"			0		
"a851b630x658"	1401				"-- (Last active semester) --"			0		
"a706b485x513"	1401				"-- (Last active semester) --"			0		
"a1004b783x811"	1401				"-- (Last active semester) --"			0		
"a727b506x534"	1401				"-- (Last active semester) --"			0		
"a827b606x634"	1401				"-- (Last active semester) --"			0		
"a886b665x693"	1401				"-- (Last active semester) --"			0		
"a855b634x662"	1401				"-- (Last active semester) --"			0		
"a763b542x570"	1401				"-- (Last active semester) --"			0		
"a611b390x418"	1401				"-- (Last active semester) --"			0		
"a764b543x571"	1401				"-- (Last active semester) --"			0		
"a935b714x742"	1401				"-- (Last active semester) --"			0		
"a953b732x760"	1401				"-- (Last active semester) --"			0		
"a634b413x441"	1401				"-- (Last active semester) --"			0		
"a754b533x561"	1401				"-- (Last active semester) --"			0		
"a613b392x420"	1401				"-- (Last active semester) --"			0		
"a803b582x610"	1401				"-- (Last active semester) --"			0		
"a752b531x559"	1401				"-- (Last active semester) --"			0		
"a887b666x694"	1401				"-- (Last active semester) --"			0		
"a826b605x633"	1401				"-- (Last active semester) --"			0		
"a809b588x616"	1401				"-- (Last active semester) --"			0		
"a1023b802x830"	1401				"-- (Last active semester) --"			0		
"a719b498x526"	1401				"-- (Last active semester) --"			0		
"a652b431x459"	1401				"-- (Last active semester) --"			0		
"a901b680x708"	1401				"-- (Last active semester) --"			0		
"a925b704x732"	1401				"-- (Last active semester) --"			0		
"a1072b851x879"	1401				"-- (Last active semester) --"			0		
"a1047b826x854"	1401				"-- (Last active semester) --"			0		
"a615b394x422"	1401				"-- (Last active semester) --"			0		
"a778b557x585"	1401				"-- (Last active semester) --"			0		
"a883b662x690"	1401				"-- (Last active semester) --"			0		
"a946b725x753"	1401				"-- (Last active semester) --"			0		
"a1083b862x890"	1401				"-- (Last active semester) --"			0		
"a999b778x806"	1401				"-- (Last active semester) --"			0		
"a980b759x787"	1401				"-- (Last active semester) --"			0		
"a802b581x609"	1401				"-- (Last active semester) --"			0		
"a927b706x734"	1401				"-- (Last active semester) --"			0		
"a877b656x684"	1401				"-- (Last active semester) --"			0		
"a865b644x672"	1401				"-- (Last active semester) --"			0		
"a791b570x598"	1401				"-- (Last active semester) --"			0		
"a1001b780x808"	1401				"-- (Last active semester) --"			0		
"a797b576x604"	1401				"-- (Last active semester) --"			0		
"a939b718x746"	1401				"-- (Last active semester) --"			0		
"a891b670x698"	1401				"-- (Last active semester) --"			0		
"a761b540x568"	1401				"-- (Last active semester) --"			0		
"a820b599x627"	1401				"-- (Last active semester) --"			0		
"a704b483x511"	1401				"-- (Last active semester) --"			0		
"a715b494x522"	1401				"-- (Last active semester) --"			0		
"a607b386x414"	1401				"-- (Last active semester) --"			0		
"a907b686x714"	1401				"-- (Last active semester) --"			0		
"a700b479x507"	1401				"-- (Last active semester) --"			0		
"a671b450x478"	1401				"-- (Last active semester) --"			0		
"a659b438x466"	1401				"-- (Last active semester) --"			0		
"a1055b834x862"	1401				"-- (Last active semester) --"			0		
"a879b658x686"	1401				"-- (Last active semester) --"			0		
"a973b752x780"	1401				"-- (Last active semester) --"			0		
"a635b414x442"	1401				"-- (Last active semester) --"			0		
"a1019b798x826"	1401				"-- (Last active semester) --"			0		
"a655b434x462"	1401				"-- (Last active semester) --"			0		
"a956b735x763"	908				"-- First semester as a graduate student --"			0		
"a731b510x538"	908				"-- First semester as a graduate student --"			0		
"a670b449x477"	908				"-- First semester as a graduate student --"			0		
"a785b564x592"	908				"-- First semester as a graduate student --"			0		
"a824b603x631"	908				"-- First semester as a graduate student --"			0		
"a683b462x490"	908				"-- First semester as a graduate student --"			0		
"a1009b788x816"	908				"-- First semester as a graduate student --"			0		
"a1033b812x840"	908				"-- First semester as a graduate student --"			0		
"a1045b824x852"	908				"-- First semester as a graduate student --"			0		
"a1015b794x822"	1001				"-- First semester as a graduate student --"			0		
"a662b441x469"	1001				"-- First semester as a graduate student --"			0		
"a1042b821x849"	1005				"-- First semester as a graduate student --"			0		
"a1000b779x807"	1008				"-- First semester as a graduate student --"			0		
"a1075b854x882"	1008				"-- First semester as a graduate student --"			0		
"a976b755x783"	1008				"-- First semester as a graduate student --"			0		
"a856b635x663"	1008				"-- First semester as a graduate student --"			0		
"a923b702x730"	1008				"-- First semester as a graduate student --"			0		
"a1096b875x903"	1008				"-- First semester as a graduate student --"			0		
"a817b596x624"	1008				"-- First semester as a graduate student --"			0		
"a716b495x523"	1008				"-- First semester as a graduate student --"			0		
"a841b620x648"	1008				"-- First semester as a graduate student --"			0		
"a698b477x505"	1008				"-- First semester as a graduate student --"			0		
"a992b771x799"	1008				"-- First semester as a graduate student --"			0		
"a951b730x758"	1008				"-- First semester as a graduate student --"			0		
"a829b608x636"	1008				"-- First semester as a graduate student --"			0		
"a1054b833x861"	1008				"-- First semester as a graduate student --"			0		
"a739b518x546"	1008				"-- First semester as a graduate student --"			0		
"a1039b818x846"	1008				"-- First semester as a graduate student --"			0		
"a941b720x748"	1008				"-- First semester as a graduate student --"			0		
"a665b444x472"	1008				"-- First semester as a graduate student --"			0		
"a842b621x649"	1008				"-- First semester as a graduate student --"			0		
"a971b750x778"	1008				"-- First semester as a graduate student --"			0		
"a782b561x589"	1008				"-- First semester as a graduate student --"			0		
"a1031b810x838"	1008				"-- First semester as a graduate student --"			0		
"a614b393x421"	1101				"-- First semester as a graduate student --"			0		
"a1006b785x813"	1101				"-- First semester as a graduate student --"			0		
"a899b678x706"	1108				"-- First semester as a graduate student --"			0		
"a839b618x646"	1108				"-- First semester as a graduate student --"			0		
"a1100b879x907"	1108				"-- First semester as a graduate student --"			0		
"a1061b840x868"	1108				"-- First semester as a graduate student --"			0		
"a1099b878x906"	1108				"-- First semester as a graduate student --"			0		
"a845b624x652"	1108				"-- First semester as a graduate student --"			0		
"a1081b860x888"	1108				"-- First semester as a graduate student --"			0		
"a718b497x525"	1108				"-- First semester as a graduate student --"			0		
"a988b767x795"	1108				"-- First semester as a graduate student --"			0		
"a1060b839x867"	1108				"-- First semester as a graduate student --"			0		
"a1012b791x819"	1108				"-- First semester as a graduate student --"			0		
"a687b466x494"	1108				"-- First semester as a graduate student --"			0		
"a682b461x489"	1108				"-- First semester as a graduate student --"			0		
"a788b567x595"	1108				"-- First semester as a graduate student --"			0		
"a710b489x517"	1108				"-- First semester as a graduate student --"			0		
"a866b645x673"	1108				"-- First semester as a graduate student --"			0		
"a940b719x747"	1108				"-- First semester as a graduate student --"			0		
"a724b503x531"	1108				"-- First semester as a graduate student --"			0		
"a844b623x651"	1108				"-- First semester as a graduate student --"			0		
"a963b742x770"	1108				"-- First semester as a graduate student --"			0		
"a781b560x588"	1108				"-- First semester as a graduate student --"			0		
"a917b696x724"	1108				"-- First semester as a graduate student --"			0		
"a697b476x504"	1108				"-- First semester as a graduate student --"			0		
"a929b708x736"	1201				"-- First semester as a graduate student --"			0		
"a709b488x516"	1201				"-- First semester as a graduate student --"			0		
"a815b594x622"	1201				"-- First semester as a graduate student --"			0		
"a985b764x792"	1201				"-- First semester as a graduate student --"			0		
"a1016b795x823"	1201				"-- First semester as a graduate student --"			0		
"a1059b838x866"	1201				"-- First semester as a graduate student --"			0		
"a812b591x619"	1201				"-- First semester as a graduate student --"			0		
"a814b593x621"	1201				"-- First semester as a graduate student --"			0		
"a854b633x661"	1205				"-- First semester as a graduate student --"			0		
"a713b492x520"	1205				"-- First semester as a graduate student --"			0		
"a751b530x558"	1208				"-- First semester as a graduate student --"			0		
"a737b516x544"	1208				"-- First semester as a graduate student --"			0		
"a896b675x703"	1208				"-- First semester as a graduate student --"			0		
"a610b389x417"	1208				"-- First semester as a graduate student --"			0		
"a949b728x756"	1208				"-- First semester as a graduate student --"			0		
"a1063b842x870"	1208				"-- First semester as a graduate student --"			0		
"a730b509x537"	1208				"-- First semester as a graduate student --"			0		
"a967b746x774"	1208				"-- First semester as a graduate student --"			0		
"a808b587x615"	1208				"-- First semester as a graduate student --"			0		
"a862b641x669"	1208				"-- First semester as a graduate student --"			0		
"a629b408x436"	1208				"-- First semester as a graduate student --"			0		
"a776b555x583"	1208				"-- First semester as a graduate student --"			0		
"a832b611x639"	1208				"-- First semester as a graduate student --"			0		
"a835b614x642"	1208				"-- First semester as a graduate student --"			0		
"a910b689x717"	1208				"-- First semester as a graduate student --"			0		
"a691b470x498"	1208				"-- First semester as a graduate student --"			0		
"a707b486x514"	1208				"-- First semester as a graduate student --"			0		
"a1090b869x897"	1208				"-- First semester as a graduate student --"			0		
"a838b617x645"	1208				"-- First semester as a graduate student --"			0		
"a1049b828x856"	1208				"-- First semester as a graduate student --"			0		
"a880b659x687"	1208				"-- First semester as a graduate student --"			0		
"a769b548x576"	1208				"-- First semester as a graduate student --"			0		
"a1036b815x843"	1208				"-- First semester as a graduate student --"			0		
"a1097b876x904"	1208				"-- First semester as a graduate student --"			0		
"a675b454x482"	1208				"-- First semester as a graduate student --"			0		
"a959b738x766"	1208				"-- First semester as a graduate student --"			0		
"a616b395x423"	1208				"-- First semester as a graduate student --"			0		
"a874b653x681"	1208				"-- First semester as a graduate student --"			0		
"a604b383x411"	1208				"-- First semester as a graduate student --"			0		
"a952b731x759"	1208				"-- First semester as a graduate student --"			0		
"a821b600x628"	1208				"-- First semester as a graduate student --"			0		
"a605b384x412"	1208				"-- First semester as a graduate student --"			0		
"a848b627x655"	1208				"-- First semester as a graduate student --"			0		
"a1067b846x874"	1208				"-- First semester as a graduate student --"			0		
"a904b683x711"	1208				"-- First semester as a graduate student --"			0		
"a771b550x578"	1208				"-- First semester as a graduate student --"			0		
"a1030b809x837"	1208				"-- First semester as a graduate student --"			0		
"a796b575x603"	1208				"-- First semester as a graduate student --"			0		
"a1013b792x820"	1208				"-- First semester as a graduate student --"			0		
"a905b684x712"	1208				"-- First semester as a graduate student --"			0		
"a699b478x506"	1208				"-- First semester as a graduate student --"			0		
"a748b527x555"	1208				"-- First semester as a graduate student --"			0		
"a725b504x532"	1208				"-- First semester as a graduate student --"			0		
"a784b563x591"	1208				"-- First semester as a graduate student --"			0		
"a743b522x550"	1208				"-- First semester as a graduate student --"			0		
"a766b545x573"	1208				"-- First semester as a graduate student --"			0		
"a994b773x801"	1208				"-- First semester as a graduate student --"			0		
"a884b663x691"	1208				"-- First semester as a graduate student --"			0		
"a745b524x552"	1208				"-- First semester as a graduate student --"			0		
"a915b694x722"	1208				"-- First semester as a graduate student --"			0		
"a790b569x597"	1208				"-- First semester as a graduate student --"			0		
"a658b437x465"	1208				"-- First semester as a graduate student --"			0		
"a937b716x744"	1208				"-- First semester as a graduate student --"			0		
"a1093b872x900"	1208				"-- First semester as a graduate student --"			0		
"a881b660x688"	1208				"-- First semester as a graduate student --"			0		
"a673b452x480"	1208				"-- First semester as a graduate student --"			0		
"a742b521x549"	1208				"-- First semester as a graduate student --"			0		
"a800b579x607"	1208				"-- First semester as a graduate student --"			0		
"a757b536x564"	1208				"-- First semester as a graduate student --"			0		
"a913b692x720"	1208				"-- First semester as a graduate student --"			0		
"a712b491x519"	1208				"-- First semester as a graduate student --"			0		
"a943b722x750"	1208				"-- First semester as a graduate student --"			0		
"a773b552x580"	1208				"-- First semester as a graduate student --"			0		
"a868b647x675"	1208				"-- First semester as a graduate student --"			0		
"a617b396x424"	1208				"-- First semester as a graduate student --"			0		
"a1024b803x831"	1208				"-- First semester as a graduate student --"			0		
"a637b416x444"	1208				"-- First semester as a graduate student --"			0		
"a601b380x408"	1208				"-- First semester as a graduate student --"			0		
"a944b723x751"	1208				"-- First semester as a graduate student --"			0		
"a1011b790x818"	1208				"-- First semester as a graduate student --"			0		
"a979b758x786"	1208				"-- First semester as a graduate student --"			0		
"a928b707x735"	1208				"-- First semester as a graduate student --"			0		
"a701b480x508"	1208				"-- First semester as a graduate student --"			0		
"a1076b855x883"	1208				"-- First semester as a graduate student --"			0		
"a608b387x415"	1208				"-- First semester as a graduate student --"			0		
"a723b502x530"	1208				"-- First semester as a graduate student --"			0		
"a1078b857x885"	1208				"-- First semester as a graduate student --"			0		
"a875b654x682"	1208				"-- First semester as a graduate student --"			0		
"a1043b822x850"	1208				"-- First semester as a graduate student --"			0		
"a961b740x768"	1208				"-- First semester as a graduate student --"			0		
"a749b528x556"	1208				"-- First semester as a graduate student --"			0		
