ID	CourseNumber	Requirement_type	Specialization	Req_subtype
138	PUAF699C	5	PSFM	
139	PUAF784	4	IDEV	
141	PUAF699D	4	ISEP	
142	PUAF699E	4	FAM	
143	PUAF699E	5	ML	Finance/Acquistion
144	PUAF699E	4	PSFM	
145	PUAF699K	4	IDEV	
146	PUAF699K	4	ISEP	
147	PUAF699L	4	FAM	
148	PUAF699L	4	ML	Management
149	PUAF699L	5	PSFM	
150	PUAF699Q	4	SOC	
151	PUAF699Y	4	IDEV	
152	PUAF699Y	4	ISEP	
153	PUAF711	1	FAM	Management
154	PUAF711	1	ENV	Management
155	PUAF711	1	IDEV	Management
156	PUAF711	1	ISEP	Management
157	PUAF711	1	ML	Management
158	PUAF711	1	PSFM	Management
159	PUAF711	1	SOC	Management
160	PUAF712	4	FAM	
161	PUAF712	5	ML	Finance/Acquistion
162	PUAF712	4	PSFM	
163	PUAF715	4	PSFM	
164	PUAF715	4	FAM	
165	PUAF715	5	ML	Finance/Acquistion
166	PUAF716	4	FAM	
167	PUAF716	5	ML	Finance/Acquistion
168	PUAF716	2	PSFM	
169	PUAF717	4	FAM	
170	PUAF717	5	ML	Finance/Acquistion
171	PUAF717	2	PSFM	
172	PUAF720	4	IDEV	
173	PUAF720	2	ISEP	
174	PUAF732	2	EDUC	
175	PUAF732	4	SOC	
178	PUAF734	2	SOC	
179	PUAF735	2	HLTH	
180	PUAF735	4	SOC	
181	PUAF737	4	SOC	
182	PUAF740	2	ENV	
183	PUAF741	2	ENV	
184	PUAF742	4	ENV	
185	PUAF744	4	ENV	
186	PUAF745	2	ENV	
187	PUAF752	4	FAM	
188	PUAF752	4	ML	Management
189	PUAF752	5	PSFM	
190	PUAF753	4	FAM	
191	PUAF753	4	ML	Management
192	PUAF753	5	PSFM	
193	PUAF770	4	SOC	
194	PUAF780	4	IDEV	
195	PUAF780	2	ISEP	
196	PUAF781	2	IDEV	
197	PUAF781	2	ISEP	
198	PUAF782	2	IDEV	
199	PUAF782	4	ISEP	
200	PUAF790	3	FAM	
201	PUAF790	3	ENV	
202	PUAF790	3	IDEV	
203	PUAF790	3	ISEP	
204	PUAF790	3	ML	
205	PUAF790	3	PSFM	
206	PUAF790	3	SOC	
207	PUAF798C	4	IDEV	
208	PUAF798C	4	ISEP	
211	PUAF798E	4	IDEV	
212	PUAF798E	4	ISEP	
213	PUAF689E	2	SOC	
214	PUAF798G	4	HLTH	
215	PUAF798G	4	SOC	
216	PUAF798Q	4	IDEV	
217	PUAF98Q	4	ISEP	
218	PUAF798T	4	ENV	
219	PUAF798T	4	IDEV	
220	PUAF798T	4	ISEP	
221	PUAF798V	4	FAM	
222	PUAF798V	5	ML	Finance/Acquistion
223	PUAF798V	4	PSFM	
224	PUAF798Y	4	FAM	
225	PUAF798Y	4	ML	Management
226	PUAF798Y	2	NML	
227	PUAF798Y	5	PSFM	
228	PUAF688F	2	PSFM	
233	PUAF689D	4	NML	
234	PUAF698A	4	SOC	
235	PUAF698V	4	SOC	
238	PUAF770	4	SOC	
243	PUAF798E	4	SOC	
249	PUAF698W	4	ENV	
251	PUAF743	4	ENV	
252	PUAF746	4	ENV	
253	PUAF798L	4	ENV	
258	PUAF798F	4	ENV	
259	PUAF798J	4	ENV	
260	PUAF798K	4	ENV	
261	PUAF798N	4	ENV	
262	PUAF798O	4	ENV	
263	PUAF798C	4	ISEP	
264	PUAF699V	4	ISEP	
265	PUAF699K	4	ISEP	
274	PUAF699J	2	IDEV	
275	PUAF699I	4	SOC	
276	PUAF688A	1	ENV	Political
4416	PUAF688A	1	FAM	Political
4417	PUAF688A	1	ML	Political
4418	PUAF688A	1	PSFM	Political
4419	PUAF688A	1	IDEV	Political
4420	PUAF688A	1	ISEP	Political
4421	PUAF688A	1	SOC	Political
4424	PUAF620	1	MEPP	Political
4425	PUAF650	1	MEPP	Ethics
4426	PUAF640	1	MEPP	Micro
4427	PUAF711	1	MEPP	Management/Finance
4428	PUAF670	1	MEPP	Management/Finance
4429	ENPP610	3	MEPP	
4431	PUAF689X	2	ML	
4432	PUAF689Z	4	NML	
4434	PUAF798M	4	ISEP	
4435	PUAF700	4	ISEP	
4437	PUAF688P	4	SOC	
4438	PUAF744	4	IDEV	
4439	PUAF798D	4	ISEP	
4442	PUAF698T	2	ML	
4444	PUAF699Z	2	ENGY	
4447	ENPP611	Practicum	MEPP	
4448	PUAF688F	2	NML	
4449	PUAF790	3	NML	
4450	PUAF610	1	NML	Stat
4451	PUAF620	1	NML	Political
4452	PUAF640	1	NML	Micro
4453	PUAF650	1	NML	Ethics
4454	PUAF670	1	NML	Finance
4455	PUAF688A	1	NML	Political
4456	PUAF711	1	NML	Management
4457	PUAF611	1	FAM	Stat
4459	PUAF611	1	ENV	Stat
4461	PUAF611	1	IDEV	Stat
4462	PUAF611	1	ISEP	Stat
4463	PUAF611	1	ML	Stat
4464	PUAF611	1	PSFM	Stat
4465	PUAF611	1	SOC	Stat
4466	PUAF611	1	NML	Stat
4468	PUAF641	1	SOC	Macro/Finance
4471	PUAF698Z	5	NML	
4472	PUAF689P	5	NML	
4473	PUAF689Y	5	NML	
4474	PUAF689D	5	NML	
4475	PUAF698P	4	ML	Management
4476	PUAF798N	2	ENGY	
4477	PUAF798O	2	ENGY	
4481	PUAF698G	5	ML	
4482	PUAF689A	5	ML	
4483	PUAF689F	5	ML	
4484	PUAF698P	5	PSFM	
4485	PUAF698T	5	PSFM	
4486	PUAF689X	5	PSFM	
4487	PUAF689A	5	PSFM	
4488	PUAF698G	5	PSFM	
4489	PUAF689F	5	PSFM	
